DCW (g/L)
15.82
16.72
16.6
17.6
17.38
16.9
16.56
15.42
15.6
14.5
14.44
14.28
14.36
14.94
16.46
19.94
19.7
19.26
19.48
19.2
18.38
11.28
11.32
11.24
17.14
17.38
18.92
2.56
2.56
4.42
16.62
15.98
15.42
3.28
3.56
3.16
11.66
11.72
11.8
16.52
18.88
19.14
0.92
0.82
0.5
19.74
20.96
20.68
11.22
18.56
19.04
14.52
14.92
14.42
8.78
9
8.2
18.64
19.84
20.96
18.54
18.84
17.94
1.3
1.34
2.2
1.24
1.44
1
14.76
15.92
15.94
20.32
20.24
19.46
17.52
17.96
18.26
