Name,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,2.1488251636930378,inf,2.573481526333999,11.240256750502786,-0.4766675190960439
Random Forest Regressor,1.7111521494708997,,2.472547762894234,9.041534118432162,-0.1878144825197381
Support Vector Regressor,1.3855485781664172,inf,2.40992739621753,7.727494917498788,-0.015185062221982015
Kernel Ridge Regressor,1.4554021526731566,inf,2.2690242245051144,7.266666357396696,0.04535542023133199
K-NN Regressor,1.7765897435897435,,2.75740460359538,10.759551264957265,-0.41351574307236816
Gaussian Process Regressor,1.857237654191973,inf,2.438520746259546,9.395715134086714,-0.23434434507595858
Gradient Boosting Regressor,1.8073777536900728,inf,2.824044924848288,11.241844082095147,-0.4768760517885353
TPOT Regressor,1.8708590121800899,inf,2.2696074822575407,8.651231566974875,-0.13653922136242436
Ensemble Model,1.8512608600089042,inf,2.413162884179413,9.250521877382008,-0.21526985497073703
