,KH2PO4,NH4Cl,KCl,MgSO4*7H2O,ZnSO4·7H2O,H3BO3,MnCl2·4H2O,FeSO4·7H2O,CoCl2·6H2O,CuSO4·5H20,Na2MoO4·2H2O,Na4EDTA,biotin,pyridoxine,thiamine,riboflavin,para-aminobenzoic acid,nicotinic acid,Malate Titer (g/L),DCW (g/L)
27c,1.046277,3.303182,4.789812,0.789647,0.265018,0.042155,0.30672,0.262345,0.466454,0.16327,0.076827,2.237153,0.004717,0.00863,0.000681,0.033333,0.003638,0.007753,5.71,17.9
27c,1.046277,3.303182,4.789812,0.789647,0.265018,0.042155,0.30672,0.262345,0.466454,0.16327,0.076827,2.237153,0.004717,0.00863,0.000681,0.033333,0.003638,0.007753,5.86,16.9
27c,1.046277,3.303182,4.789812,0.789647,0.265018,0.042155,0.30672,0.262345,0.466454,0.16327,0.076827,2.237153,0.004717,0.00863,0.000681,0.033333,0.003638,0.007753,5.87,15.7
28c,2.048488,3.955852,4.66632,0.204766,0.066574,0.289513,0.458622,0.122222,0.00347,0.008149,0.020807,2.292761,0.009422,0.003738,0.007516,0.059048,0.007318,0.007072,0.0,2.3
28c,2.048488,3.955852,4.66632,0.204766,0.066574,0.289513,0.458622,0.122222,0.00347,0.008149,0.020807,2.292761,0.009422,0.003738,0.007516,0.059048,0.007318,0.007072,0.0,1.6
28c,2.048488,3.955852,4.66632,0.204766,0.066574,0.289513,0.458622,0.122222,0.00347,0.008149,0.020807,2.292761,0.009422,0.003738,0.007516,0.059048,0.007318,0.007072,0.0,2.4
29c,3.88969,4.319213,4.783651,1.614815,0.07866,0.009209,0.365745,0.169773,0.20524,0.32186,0.079907,2.425746,0.001951,0.00562,0.005037,0.021905,0.006057,0.008928,5.82,13.1
29c,3.88969,4.319213,4.783651,1.614815,0.07866,0.009209,0.365745,0.169773,0.20524,0.32186,0.079907,2.425746,0.001951,0.00562,0.005037,0.021905,0.006057,0.008928,6.23,14.2
29c,3.88969,4.319213,4.783651,1.614815,0.07866,0.009209,0.365745,0.169773,0.20524,0.32186,0.079907,2.425746,0.001951,0.00562,0.005037,0.021905,0.006057,0.008928,5.84,13.0
30c,0.554561,1.724935,3.727283,2.82304,0.143008,0.077555,0.324884,0.367668,0.029087,0.358511,0.037997,1.195046,0.004483,2.1e-05,0.009021,0.049524,0.003796,0.007169,0.0,1.4
30c,0.554561,1.724935,3.727283,2.82304,0.143008,0.077555,0.324884,0.367668,0.029087,0.358511,0.037997,1.195046,0.004483,2.1e-05,0.009021,0.049524,0.003796,0.007169,0.0,2.4
30c,0.554561,1.724935,3.727283,2.82304,0.143008,0.077555,0.324884,0.367668,0.029087,0.358511,0.037997,1.195046,0.004483,2.1e-05,0.009021,0.049524,0.003796,0.007169,0.0,1.2
31c,2.846039,3.837443,3.34215,2.572997,0.013983,0.815449,0.313017,0.152005,0.363591,0.082603,0.001253,2.065305,0.004697,0.001525,0.007392,0.047619,0.004182,0.009583,0.0,2.4
31c,2.846039,3.837443,3.34215,2.572997,0.013983,0.815449,0.313017,0.152005,0.363591,0.082603,0.001253,2.065305,0.004697,0.001525,0.007392,0.047619,0.004182,0.009583,0.0,0.3
31c,2.846039,3.837443,3.34215,2.572997,0.013983,0.815449,0.313017,0.152005,0.363591,0.082603,0.001253,2.065305,0.004697,0.001525,0.007392,0.047619,0.004182,0.009583,0.0,2.4
32c,4.398306,3.807857,3.029419,3.020582,0.275265,0.169002,0.397934,0.015595,0.435862,0.222906,0.07713,1.428605,0.002644,0.006404,0.00725,0.070476,0.00198,0.006712,4.87,10.5
