,KH2PO4,NH4Cl,KCl,MgSO4*7H2O,ZnSO4·7H2O,H3BO3,MnCl2·4H2O,FeSO4·7H2O,CoCl2·6H2O,CuSO4·5H20,Na2MoO4·2H2O,Na4EDTA,biotin,pyridoxine,thiamine,riboflavin,para-aminobenzoic acid,nicotinic acid,Malate Titer (g/L),DCW (g/L)
12b,4.158143824,3.721470828,1.515161869,0.091348738,0.353941362,0.19711045,0.375400765,0.003102232,0.08355596,0.394777608,0.000585369,1.263610154,0.007972208,0.001072265,1.5431e-05,0.022760156,0.003705927,0.008175341,8.3,13.4
13b,2.1111993,1.716169502,0.985340666,3.171954866,0.295874715,0.73493398,0.004423422,0.240875402,0.450310384,0.186065963,0.081577543,2.46013697,0.002584169,0.009842456,5.3339e-05,0.01402681,1.4477e-05,0.003354836,0.0,0.6
13b,2.1111993,1.716169502,0.985340666,3.171954866,0.295874715,0.73493398,0.004423422,0.240875402,0.450310384,0.186065963,0.081577543,2.46013697,0.002584169,0.009842456,5.3339e-05,0.01402681,1.4477e-05,0.003354836,0.0,0.8
13b,2.1111993,1.716169502,0.985340666,3.171954866,0.295874715,0.73493398,0.004423422,0.240875402,0.450310384,0.186065963,0.081577543,2.46013697,0.002584169,0.009842456,5.3339e-05,0.01402681,1.4477e-05,0.003354836,0.0,0.8
14b,1.201057935,0.922068997,3.948703109,4.177577071,0.00086421,0.706327311,0.324190049,0.108308018,0.394231392,0.402585318,0.024194131,0.813646779,0.003130129,0.002788368,0.005682554,0.027990872,0.00765726,0.005969473,0.0,0.6
14b,1.201057935,0.922068997,3.948703109,4.177577071,0.00086421,0.706327311,0.324190049,0.108308018,0.394231392,0.402585318,0.024194131,0.813646779,0.003130129,0.002788368,0.005682554,0.027990872,0.00765726,0.005969473,0.0,0.7
14b,1.201057935,0.922068997,3.948703109,4.177577071,0.00086421,0.706327311,0.324190049,0.108308018,0.394231392,0.402585318,0.024194131,0.813646779,0.003130129,0.002788368,0.005682554,0.027990872,0.00765726,0.005969473,0.0,0.8
15b,0.414972564,2.614146487,4.226121439,3.008910597,0.168666093,0.760515452,0.304695127,0.177616403,0.291564577,0.000822656,0.039097854,1.031784556,0.00095181,4.8839e-05,0.001101502,0.061615057,0.006640731,0.000876508,0.0,0.6
15b,0.414972564,2.614146487,4.226121439,3.008910597,0.168666093,0.760515452,0.304695127,0.177616403,0.291564577,0.000822656,0.039097854,1.031784556,0.00095181,4.8839e-05,0.001101502,0.061615057,0.006640731,0.000876508,0.0,0.7
15b,0.414972564,2.614146487,4.226121439,3.008910597,0.168666093,0.760515452,0.304695127,0.177616403,0.291564577,0.000822656,0.039097854,1.031784556,0.00095181,4.8839e-05,0.001101502,0.061615057,0.006640731,0.000876508,0.0,0.7
16b,3.364285985,2.431909404,0.8968651,2.362941825,0.001213607,0.082220626,4.4751e-05,0.01711786,0.051578512,0.24070071,0.02336057,0.003827081,0.001858653,0.005395634,0.0005821,0.035929705,0.003359517,0.000362273,0.0,0.4
16b,3.364285985,2.431909404,0.8968651,2.362941825,0.001213607,0.082220626,4.4751e-05,0.01711786,0.051578512,0.24070071,0.02336057,0.003827081,0.001858653,0.005395634,0.0005821,0.035929705,0.003359517,0.000362273,0.0,0.5
16b,3.364285985,2.431909404,0.8968651,2.362941825,0.001213607,0.082220626,4.4751e-05,0.01711786,0.051578512,0.24070071,0.02336057,0.003827081,0.001858653,0.005395634,0.0005821,0.035929705,0.003359517,0.000362273,0.0,0.7
17b,1.489337645,0.815738608,0.198613863,2.240312078,0.099947443,0.288970552,0.357411418,0.197482927,0.273914919,0.198596063,0.034472986,1.551383465,0.003327234,2.2304e-05,0.007711434,0.050559292,0.006933478,0.006795155,10.6,11.6
17b,1.489337645,0.815738608,0.198613863,2.240312078,0.099947443,0.288970552,0.357411418,0.197482927,0.273914919,0.198596063,0.034472986,1.551383465,0.003327234,2.2304e-05,0.007711434,0.050559292,0.006933478,0.006795155,10.5,12.5
17b,1.489337645,0.815738608,0.198613863,2.240312078,0.099947443,0.288970552,0.357411418,0.197482927,0.273914919,0.198596063,0.034472986,1.551383465,0.003327234,2.2304e-05,0.007711434,0.050559292,0.006933478,0.006795155,10.6,13.3
18b,0.9789105,2.724771971,3.022033061,1.9746614,0.053243458,0.264896195,0.279953536,0.333764349,0.222559097,0.156349664,0.091315921,0.001639397,0.001562023,0.001096629,0.002826784,0.007783249,9.7105e-05,0.009038822,0.0,1.1
18b,0.9789105,2.724771971,3.022033061,1.9746614,0.053243458,0.264896195,0.279953536,0.333764349,0.222559097,0.156349664,0.091315921,0.001639397,0.001562023,0.001096629,0.002826784,0.007783249,9.7105e-05,0.009038822,0.0,1.1
18b,0.9789105,2.724771971,3.022033061,1.9746614,0.053243458,0.264896195,0.279953536,0.333764349,0.222559097,0.156349664,0.091315921,0.001639397,0.001562023,0.001096629,0.002826784,0.007783249,9.7105e-05,0.009038822,0.0,1.4
19b,2.325279123,3.793890178,0.77642793,4.711501456,0.365886736,0.81802901,0.003992375,0.159531638,0.365587179,0.312360777,0.0857103,0.00329268,0.005296171,0.003648883,0.001200664,4.4295e-05,0.004773424,0.008637357,0.0,1.4
19b,2.325279123,3.793890178,0.77642793,4.711501456,0.365886736,0.81802901,0.003992375,0.159531638,0.365587179,0.312360777,0.0857103,0.00329268,0.005296171,0.003648883,0.001200664,4.4295e-05,0.004773424,0.008637357,0.0,1.6
19b,2.325279123,3.793890178,0.77642793,4.711501456,0.365886736,0.81802901,0.003992375,0.159531638,0.365587179,0.312360777,0.0857103,0.00329268,0.005296171,0.003648883,0.001200664,4.4295e-05,0.004773424,0.008637357,0.0,1.7
20b,4.301794452,0.884484599,1.220180193,4.306578281,0.127024097,0.000536435,0.001741244,0.004758689,0.38211617,0.199514861,0.016551967,0.002208863,0.003362371,0.008397492,6.2951e-05,0.016509017,5.5117e-05,0.007824942,0.0,1.0
20b,4.301794452,0.884484599,1.220180193,4.306578281,0.127024097,0.000536435,0.001741244,0.004758689,0.38211617,0.199514861,0.016551967,0.002208863,0.003362371,0.008397492,6.2951e-05,0.016509017,5.5117e-05,0.007824942,0.0,1.0
20b,4.301794452,0.884484599,1.220180193,4.306578281,0.127024097,0.000536435,0.001741244,0.004758689,0.38211617,0.199514861,0.016551967,0.002208863,0.003362371,0.008397492,6.2951e-05,0.016509017,5.5117e-05,0.007824942,0.0,1.4
21b,1.31493606,3.635178999,3.799660883,0.974680268,0.119712077,0.122638291,0.069198923,0.327598296,0.247870899,0.374097161,0.061845142,0.438358467,8.2361e-05,0.001388896,0.008426056,0.044032442,0.006961863,0.000126023,0.0,0.9
21b,1.31493606,3.635178999,3.799660883,0.974680268,0.119712077,0.122638291,0.069198923,0.327598296,0.247870899,0.374097161,0.061845142,0.438358467,8.2361e-05,0.001388896,0.008426056,0.044032442,0.006961863,0.000126023,0.0,1.7
21b,1.31493606,3.635178999,3.799660883,0.974680268,0.119712077,0.122638291,0.069198923,0.327598296,0.247870899,0.374097161,0.061845142,0.438358467,8.2361e-05,0.001388896,0.008426056,0.044032442,0.006961863,0.000126023,0.0,1.1
22b,1.347706968,3.996181377,1.630601302,0.706079864,0.000596327,0.606550557,0.028847662,0.001809514,0.02869422,0.493001099,0.061974982,0.587548813,0.009697081,0.007275855,0.005054481,0.004734514,0.006863254,0.003541272,0.0,0.4
22b,1.347706968,3.996181377,1.630601302,0.706079864,0.000596327,0.606550557,0.028847662,0.001809514,0.02869422,0.493001099,0.061974982,0.587548813,0.009697081,0.007275855,0.005054481,0.004734514,0.006863254,0.003541272,0.0,0.5
22b,1.347706968,3.996181377,1.630601302,0.706079864,0.000596327,0.606550557,0.028847662,0.001809514,0.02869422,0.493001099,0.061974982,0.587548813,0.009697081,0.007275855,0.005054481,0.004734514,0.006863254,0.003541272,0.0,0.4
23b,2.643430531,2.220472932,2.292272761,0.049649231,0.476769236,0.416825739,0.470173232,0.057686207,0.200606319,0.000899691,0.05126914,0.003833329,0.007094401,0.008029992,0.001679426,3.5304e-05,0.00324925,9.102e-05,0.0,2.1
23b,2.643430531,2.220472932,2.292272761,0.049649231,0.476769236,0.416825739,0.470173232,0.057686207,0.200606319,0.000899691,0.05126914,0.003833329,0.007094401,0.008029992,0.001679426,3.5304e-05,0.00324925,9.102e-05,0.0,2.9
23b,2.643430531,2.220472932,2.292272761,0.049649231,0.476769236,0.416825739,0.470173232,0.057686207,0.200606319,0.000899691,0.05126914,0.003833329,0.007094401,0.008029992,0.001679426,3.5304e-05,0.00324925,9.102e-05,0.0,2.4
24b,3.428819382,1.341367291,3.781297217,1.40767782,0.044357013,0.399549582,0.392033763,0.434811437,0.417773777,0.365131527,0.014513397,0.791130887,6.4374e-05,0.000430104,0.006342162,0.046242807,0.001630483,0.0062203,0.0,1.1
24b,3.428819382,1.341367291,3.781297217,1.40767782,0.044357013,0.399549582,0.392033763,0.434811437,0.417773777,0.365131527,0.014513397,0.791130887,6.4374e-05,0.000430104,0.006342162,0.046242807,0.001630483,0.0062203,0.0,1.1
24b,3.428819382,1.341367291,3.781297217,1.40767782,0.044357013,0.399549582,0.392033763,0.434811437,0.417773777,0.365131527,0.014513397,0.791130887,6.4374e-05,0.000430104,0.006342162,0.046242807,0.001630483,0.0062203,0.0,1.1
25b,1.457623742,1.308321928,0.47393834,0.538452061,0.002376573,0.011334645,0.005346674,0.005443666,0.001841461,0.001629623,8.4166e-05,0.005192773,0.000109699,9.4538e-05,9.2011e-05,0.000108761,0.000101283,0.000105984,13.7,11.7
25b,1.457623742,1.308321928,0.47393834,0.538452061,0.002376573,0.011334645,0.005346674,0.005443666,0.001841461,0.001629623,8.4166e-05,0.005192773,0.000109699,9.4538e-05,9.2011e-05,0.000108761,0.000101283,0.000105984,13.8,13.0
25b,1.457623742,1.308321928,0.47393834,0.538452061,0.002376573,0.011334645,0.005346674,0.005443666,0.001841461,0.001629623,8.4166e-05,0.005192773,0.000109699,9.4538e-05,9.2011e-05,0.000108761,0.000101283,0.000105984,14.0,13.0
0c,0.94775,1.167913,0.180028,0.978002,0.33733,0.135659,0.414452,0.075534,0.203132,0.37559,0.004325,1.986739,0.009158,0.001909,0.001446,0.06381,0.009425,0.008337,7.68,18.0
0c,0.94775,1.167913,0.180028,0.978002,0.33733,0.135659,0.414452,0.075534,0.203132,0.37559,0.004325,1.986739,0.009158,0.001909,0.001446,0.06381,0.009425,0.008337,7.59,17.4
0c,0.94775,1.167913,0.180028,0.978002,0.33733,0.135659,0.414452,0.075534,0.203132,0.37559,0.004325,1.986739,0.009158,0.001909,0.001446,0.06381,0.009425,0.008337,7.64,17.4
1c,0.897217,1.101133,0.103716,0.508811,0.246048,0.042705,0.252029,0.243208,0.243781,0.064238,0.077014,1.672971,0.005974,0.00332,0.005676,0.044762,0.005606,0.005725,9.03,17.1
1c,0.897217,1.101133,0.103716,0.508811,0.246048,0.042705,0.252029,0.243208,0.243781,0.064238,0.077014,1.672971,0.005974,0.00332,0.005676,0.044762,0.005606,0.005725,9.06,16.0
1c,0.897217,1.101133,0.103716,0.508811,0.246048,0.042705,0.252029,0.243208,0.243781,0.064238,0.077014,1.672971,0.005974,0.00332,0.005676,0.044762,0.005606,0.005725,9.02,17.3
