DCW (g/L)
18.0
17.4
17.4
17.1
16.0
17.3
16.4
16.9
16.9
2.3
2.8
3.2
15.9
16.0
15.9
0.9
0.9
0.9
1.7
1.8
1.8
0.9
0.4
0.6
13.7
15.5
15.1
1.5
1.5
1.6
10.7
11.7
11.5
6.9
7.5
7.6
8.7
8.8
9.3
1.0
1.0
0.8
0.8
1.2
1.0
13.6
13.8
13.7
1.1
-0.6
2.4
17.9
16.9
15.7
2.3
1.6
2.4
13.1
14.2
13.0
1.4
2.4
1.2
2.4
0.3
2.4
10.5
10.4
13.6
3.1
2.6
3.9
22.0
22.2
21.3
1.0
1.1
1.4
0.94
1.46
1.06
1.02
1.08
1.02
0.54
0.62
0.62
0.54
0.58
0.62
0.72
0.76
1.02
0.94
0.96
0.86
1.12
0.98
1.76
0.7
1
0.94
1.34
1.2
1.4
