DCW (g/L)
2.02
1.52
2.8
14.32
0.82
0.7
0.54
0.54
0.8
0.88
0.9
1.28
0.4
0.68
0.66
0.78
0.68
0.8
2.96
3.32
3.52
0.82
0.64
0.84
0.66
0.56
0.4
1.58
2.22
2.14
0.5
0.42
0.66
1.32
1.38
1.48
0.88
1.06
1.1
0.82
1.66
1.56
1.36
1.98
1.66
1.38
1.9
1.6
0.56
0.74
0.64
7.18
1.66
1.18
0.52
0.32
0.44
1.46
2
2.2
1.22
1.42
1.18
0.44
0.76
0.88
1
1.44
1.52
1.14
0.88
0.92
1.18
1.92
1.94
13.78
12.94
17.236
0.8
0.7
0.5
3.0
4.5
4.2
0.2
0.0
0.7
0.7
1.1
1.5
8.1
9.5
10.0
12.0
14.5
14.2
0.8
0.5
0.5
5.8
7.0
7.3
0.8
1.0
1.1
0.6
0.3
0.5
1.2
1.5
1.1
0.9
0.7
0.5
12.5
13.0
13.4
0.6
0.8
0.8
0.6
0.7
0.8
0.6
0.7
0.7
0.4
0.5
0.7
11.6
12.5
13.3
1.1
1.1
1.4
1.4
1.6
1.7
1.0
1.0
1.4
0.9
1.7
1.1
0.4
0.5
0.4
2.1
2.9
2.4
1.1
1.1
1.1
11.7
13.0
13.0
