Name,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,0.29016456242083344,inf,0.2539701683782187,0.14869631971093447,-0.2423025969835615
Random Forest Regressor,0.19137369427165088,,0.2047018934302571,0.07852675603311166,0.3439380803622172
Support Vector Regressor,0.20911256837323897,inf,0.16645541585105525,0.07143547171780028,0.40318313052879706
Kernel Ridge Regressor,0.18209554934308253,inf,0.1996124153295473,0.07300390544425468,0.39007944850520204
K-NN Regressor,0.21198664501281997,,0.2490263105059765,0.10695244098801039,0.10645202617367855
Gaussian Process Regressor,0.25896196203061056,inf,0.1695500055317662,0.09580850215456534,0.19955550163512736
Gradient Boosting Regressor,0.19850140722141782,inf,0.22970008048012427,0.09216493564145872,0.22999614838626437
TPOT Regressor,0.20593870353334218,,0.2371232118353145,0.09863816720408924,0.17591469972119367
Ensemble Model,0.19904211692295665,inf,0.19658780493324907,0.07826452935764514,0.3461288869710405
