Name,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,0.10890906411686523,inf,0.1021553800536831,0.022296905920723902,0.8137176213650663
Random Forest Regressor,0.010963566105241167,,0.01694221890144262,0.00040723856304839267,0.9965976728580077
Support Vector Regressor,0.08170142102745474,inf,0.03307848182761709,0.007769308157925421,0.9350903121199
Kernel Ridge Regressor,0.03519229519050704,inf,0.04565900852360923,0.003323242700134806,0.9722355398922456
K-NN Regressor,0.08407720753190634,,0.12835687188534362,0.023544463386553763,0.8032947414800795
Gaussian Process Regressor,0.005045081715221661,inf,0.01188765360996869,0.0001667691578638656,0.9986067055437969
Gradient Boosting Regressor,0.014670096569938318,inf,0.014121083841806886,0.00041461674223865544,0.9965360309075755
TPOT Regressor,0.005711157360296664,inf,0.011862721453842793,0.0001733414786855328,0.9985517962411267
Ensemble Model,0.029452965128324883,inf,0.01842240822168545,0.0012068622795367453,0.9899171133018987
