Name,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,0.1874514531195038,inf,0.32083295664442896,0.13807183334581957,0.9874263884549164
Random Forest Regressor,0.144336799196174,,0.19387015065195348,0.05841874691600781,0.9946800544841561
Support Vector Regressor,0.9514142894859348,inf,2.2054855869476935,5.769355824472038,0.47460943159502456
Kernel Ridge Regressor,0.28719249920183715,inf,0.4899353598087408,0.3225161883887176,0.970629829621774
K-NN Regressor,0.6729487179487179,,1.2340545732170207,1.9757506666666667,0.8200768339883939
Gaussian Process Regressor,0.05216501453730874,inf,0.1432326076780563,0.023236768643933623,0.997883926826987
Gradient Boosting Regressor,0.0651295631987561,inf,0.1397913592280234,0.023783484117279048,0.9978341397862782
TPOT Regressor,0.050777566082322236,,0.14367685558356333,0.023221400047624716,0.9978853263793455
Ensemble Model,0.1252346370256184,inf,0.2388563938287581,0.07273609118381719,0.9933762351546208
